,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob,words
0,1,2894,0.0,11.64, Welcome back to recitation and this video I'd like us to find an antiderivative of the,"[50364, 4027, 646, 281, 850, 4614, 293, 341, 960, 286, 1116, 411, 505, 281, 915, 364, 2511, 1438, 592, 1166, 295, 264, 50946]",0.0,-0.20115761127736834,1.5,0.23890526592731476,
1,2,2894,11.64,16.34, function 1 over x squared minus 8x plus 1.,"[50946, 2445, 502, 670, 2031, 8889, 3175, 1649, 87, 1804, 502, 13, 51181]",0.0,-0.20115761127736834,1.5,0.23890526592731476,
2,3,2894,16.34,27.94, So I'll give you a lot of work on it and then I'll come back and I'll show you how I started.,"[51181, 407, 286, 603, 976, 291, 257, 688, 295, 589, 322, 309, 293, 550, 286, 603, 808, 646, 293, 286, 603, 855, 291, 577, 286, 1409, 13, 51761]",0.0,-0.20115761127736834,1.5,0.23890526592731476,
3,4,2894,27.94,28.94, So welcome back.,"[51761, 407, 2928, 646, 13, 51811]",0.0,-0.20115761127736834,1.5,0.23890526592731476,
4,5,5344,29.080000000000002,35.04, Well what we'd like to do is find an antiderivative to 1 over x squared minus 8x plus 1.,"[50371, 1042, 437, 321, 1116, 411, 281, 360, 307, 915, 364, 2511, 1438, 592, 1166, 281, 502, 670, 2031, 8889, 3175, 1649, 87, 1804, 502, 13, 50669]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
5,6,5344,35.04,38.84, And how we're going to do that is we're going to use the technique completing the square.,"[50669, 400, 577, 321, 434, 516, 281, 360, 300, 307, 321, 434, 516, 281, 764, 264, 6532, 19472, 264, 3732, 13, 50859]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
6,7,5344,38.84,40.24, And I'm going to set up the problem.,"[50859, 400, 286, 478, 516, 281, 992, 493, 264, 1154, 13, 50929]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
7,8,5344,40.24,43.34, I'm going to get it to a certain place and then I'm going to let you finish it.,"[50929, 286, 478, 516, 281, 483, 309, 281, 257, 1629, 1081, 293, 550, 286, 478, 516, 281, 718, 291, 2413, 309, 13, 51084]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
8,9,5344,43.34,45.040000000000006, And how do you know if you got the right answer?,"[51084, 400, 577, 360, 291, 458, 498, 291, 658, 264, 558, 1867, 30, 51169]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
9,10,5344,45.040000000000006,49.14, Well you actually take a derivative of your answer and see if it gives you back 1 over,"[51169, 1042, 291, 767, 747, 257, 13760, 295, 428, 1867, 293, 536, 498, 309, 2709, 291, 646, 502, 670, 51374]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
10,11,5344,49.14,51.24, x squared minus 8x plus 1.,"[51374, 2031, 8889, 3175, 1649, 87, 1804, 502, 13, 51479]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
11,12,5344,51.24,52.540000000000006, That's how you can check.,"[51479, 663, 311, 577, 291, 393, 1520, 13, 51544]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
12,13,5344,52.540000000000006,53.44, So let's start off.,"[51544, 407, 718, 311, 722, 766, 13, 51589]",0.0,-0.1520487787772198,1.8736059479553904,0.008722462691366673,
13,14,7944,53.44,61.739999999999995," If I want to complete the square, let's just remind ourselves how to complete the square","[50364, 759, 286, 528, 281, 3566, 264, 3732, 11, 718, 311, 445, 4160, 4175, 577, 281, 3566, 264, 3732, 50779]",0.0,-0.19308426593031203,1.6097560975609757,0.0007645729347132146,
14,15,7944,61.739999999999995,68.64, on this quadratic.,"[50779, 322, 341, 37262, 13, 51124]",0.0,-0.19308426593031203,1.6097560975609757,0.0007645729347132146,
15,16,7944,68.64,75.24, So I'd like something right here that makes this a perfect square.,"[51124, 407, 286, 1116, 411, 746, 558, 510, 300, 1669, 341, 257, 2176, 3732, 13, 51454]",0.0,-0.19308426593031203,1.6097560975609757,0.0007645729347132146,
16,17,7944,75.24,76.24, Right?,"[51454, 1779, 30, 51504]",0.0,-0.19308426593031203,1.6097560975609757,0.0007645729347132146,
17,18,7944,76.24,79.44," Well the 8 here in the middle, if I want a perfect square, if you think about this","[51504, 1042, 264, 1649, 510, 294, 264, 2808, 11, 498, 286, 528, 257, 2176, 3732, 11, 498, 291, 519, 466, 341, 51664]",0.0,-0.19308426593031203,1.6097560975609757,0.0007645729347132146,
18,19,10774,79.94,81.14, I'm going to have an x minus.,"[50389, 286, 478, 516, 281, 362, 364, 2031, 3175, 13, 50449]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
19,20,10774,81.14,86.34," I need a number here that when I multiply it by 2, that's where this 8 comes from, gives me 8.","[50449, 286, 643, 257, 1230, 510, 300, 562, 286, 12972, 309, 538, 568, 11, 300, 311, 689, 341, 1649, 1487, 490, 11, 2709, 385, 1649, 13, 50709]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
20,21,10774,86.34,89.44," So obviously I need this number to be a 4, right?","[50709, 407, 2745, 286, 643, 341, 1230, 281, 312, 257, 1017, 11, 558, 30, 50864]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
21,22,10774,89.44,91.53999999999999, Which puts what here?,"[50864, 3013, 8137, 437, 510, 30, 50969]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
22,23,10774,91.53999999999999,94.64," Puts a 16 here, right?","[50969, 430, 3648, 257, 3165, 510, 11, 558, 30, 51124]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
23,24,10774,94.64,98.34," So just to double check, what I'm looking for is a number here.","[51124, 407, 445, 281, 3834, 1520, 11, 437, 286, 478, 1237, 337, 307, 257, 1230, 510, 13, 51309]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
24,25,10774,98.34,102.34, I need a number right here that when I multiply by 2 gives me negative 8.,"[51309, 286, 643, 257, 1230, 558, 510, 300, 562, 286, 12972, 538, 568, 2709, 385, 3671, 1649, 13, 51509]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
25,26,10774,102.34,105.14, And then I need it to figure out what it squares to.,"[51509, 400, 550, 286, 643, 309, 281, 2573, 484, 437, 309, 19368, 281, 13, 51649]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
26,27,10774,105.14,107.74, So that number is negative 4 and it squares to 16.,"[51649, 407, 300, 1230, 307, 3671, 1017, 293, 309, 19368, 281, 3165, 13, 51779]",0.0,-0.14691031886183697,1.8221343873517786,0.156826913356781,
27,28,13114,107.74000000000001,109.74000000000001," But obviously this isn't what I have, right?","[50364, 583, 2745, 341, 1943, 380, 437, 286, 362, 11, 558, 30, 50464]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
28,29,13114,109.74000000000001,111.14000000000001, I have plus 1.,"[50464, 286, 362, 1804, 502, 13, 50534]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
29,30,13114,111.14000000000001,114.14000000000001, So what have I had to do to get from here to here?,"[50534, 407, 437, 362, 286, 632, 281, 360, 281, 483, 490, 510, 281, 510, 30, 50684]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
30,31,13114,114.14000000000001,118.54," Well I had plus 1 and now I have plus 16, so obviously I've added 15.","[50684, 1042, 286, 632, 1804, 502, 293, 586, 286, 362, 1804, 3165, 11, 370, 2745, 286, 600, 3869, 2119, 13, 50904]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
31,32,13114,118.54,125.64000000000001, So I have to subtract 15 to keep these three lines all equal to each other.,"[50904, 407, 286, 362, 281, 16390, 2119, 281, 1066, 613, 1045, 3876, 439, 2681, 281, 1184, 661, 13, 51259]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
32,33,13114,125.64000000000001,129.44," So to understand where that comes from, let's just, let me just remind you.","[51259, 407, 281, 1223, 689, 300, 1487, 490, 11, 718, 311, 445, 11, 718, 385, 445, 4160, 291, 13, 51449]",0.0,-0.12613867654978672,1.6157205240174672,0.0008936052909120917,
