,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob,words
0,1,2600,0.0,12.16," So in quantum mechanics, you see this i appearing here.","[50364, 407, 294, 13018, 12939, 11, 291, 536, 341, 741, 19870, 510, 13, 50972]",0.0,-0.2019836549316683,1.4458598726114649,0.0019426600774750113,
1,2,2600,12.16,17.04," And it's a complex number, square root of minus 1.","[50972, 400, 309, 311, 257, 3997, 1230, 11, 3732, 5593, 295, 3175, 502, 13, 51216]",0.0,-0.2019836549316683,1.4458598726114649,0.0019426600774750113,
2,3,2600,17.04,20.44, And that shows that somehow complex numbers,"[51216, 400, 300, 3110, 300, 6063, 3997, 3547, 51386]",0.0,-0.2019836549316683,1.4458598726114649,0.0019426600774750113,
3,4,2600,20.44,21.56, are very important.,"[51386, 366, 588, 1021, 13, 51442]",0.0,-0.2019836549316683,1.4458598726114649,0.0019426600774750113,
4,5,2600,21.56,26.0," Well, it's difficult to overemphasize they're important.","[51442, 1042, 11, 309, 311, 2252, 281, 38657, 76, 7485, 1125, 436, 434, 1021, 13, 51664]",0.0,-0.2019836549316683,1.4458598726114649,0.0019426600774750113,
5,6,5268,26.0,31.96, So i is the square root of minus 1 was invented by people,"[50364, 407, 741, 307, 264, 3732, 5593, 295, 3175, 502, 390, 14479, 538, 561, 50662]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
6,7,5268,31.96,36.04," in order to solve equations, equations like x squared","[50662, 294, 1668, 281, 5039, 11787, 11, 11787, 411, 2031, 8889, 50866]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
7,8,5268,36.04,38.96, equals minus 1.,"[50866, 6915, 3175, 502, 13, 51012]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
8,9,5268,38.96,42.28," And it so happens that once you invent i,","[51012, 400, 309, 370, 2314, 300, 1564, 291, 7962, 741, 11, 51178]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
9,10,5268,42.28,44.879999999999995, you don't need to invent more numbers.,"[51178, 291, 500, 380, 643, 281, 7962, 544, 3547, 13, 51308]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
10,11,5268,44.879999999999995,50.04, And you can solve every polynomial equation with just i.,"[51308, 400, 291, 393, 5039, 633, 26110, 5367, 365, 445, 741, 13, 51566]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
11,12,5268,50.04,52.68," And square root of i, well, square root of i","[51566, 400, 3732, 5593, 295, 741, 11, 731, 11, 3732, 5593, 295, 741, 51698]",0.0,-0.14630391597747802,1.7222222222222223,0.00018588292005006224,
12,13,7892,52.68,56.4, can be written in terms of i and other numbers.,"[50364, 393, 312, 3720, 294, 2115, 295, 741, 293, 661, 3547, 13, 50550]",0.0,-0.13704070448875427,1.66,0.0002825646079145372,
13,14,7892,56.4,63.0," So if you have a complex number, z,","[50550, 407, 498, 291, 362, 257, 3997, 1230, 11, 710, 11, 50880]",0.0,-0.13704070448875427,1.66,0.0002825646079145372,
14,15,7892,63.0,65.76, we sometimes write it this way.,"[50880, 321, 2171, 2464, 309, 341, 636, 13, 51018]",0.0,-0.13704070448875427,1.66,0.0002825646079145372,
15,16,7892,65.76,68.64, And we say it belongs to the complex numbers.,"[51018, 400, 321, 584, 309, 12953, 281, 264, 3997, 3547, 13, 51162]",0.0,-0.13704070448875427,1.66,0.0002825646079145372,
16,17,7892,68.64,74.36, And with a and b belong into the real numbers.,"[51162, 400, 365, 257, 293, 272, 5784, 666, 264, 957, 3547, 13, 51448]",0.0,-0.13704070448875427,1.66,0.0002825646079145372,
17,18,7892,74.36,78.92, And we say that the real part of z is a.,"[51448, 400, 321, 584, 300, 264, 957, 644, 295, 710, 307, 257, 13, 51676]",0.0,-0.13704070448875427,1.66,0.0002825646079145372,
18,19,10672,78.92,83.8, And the imaginary part of z is b.,"[50364, 400, 264, 26164, 644, 295, 710, 307, 272, 13, 50608]",0.0,-0.14041178663012008,1.5673758865248226,3.255109550082125e-05,
19,20,10672,83.8,87.76, We also define the complex conjugate,"[50608, 492, 611, 6964, 264, 3997, 45064, 50806]",0.0,-0.14041178663012008,1.5673758865248226,3.255109550082125e-05,
20,21,10672,87.76,92.48," of z, which is a minus ib.","[50806, 295, 710, 11, 597, 307, 257, 3175, 39073, 13, 51042]",0.0,-0.14041178663012008,1.5673758865248226,3.255109550082125e-05,
21,22,10672,92.48,97.12, And we picture the complex number z,"[51042, 400, 321, 3036, 264, 3997, 1230, 710, 51274]",0.0,-0.14041178663012008,1.5673758865248226,3.255109550082125e-05,
22,23,10672,97.12,102.08," by putting a on the x-axis, b on the y-axis.","[51274, 538, 3372, 257, 322, 264, 2031, 12, 24633, 11, 272, 322, 264, 288, 12, 24633, 13, 51522]",0.0,-0.14041178663012008,1.5673758865248226,3.255109550082125e-05,
23,24,10672,102.08,106.72, And we think of the complex number z here.,"[51522, 400, 321, 519, 295, 264, 3997, 1230, 710, 510, 13, 51754]",0.0,-0.14041178663012008,1.5673758865248226,3.255109550082125e-05,
24,25,13316,106.72,109.56, Kind of like putting the real numbers here,"[50364, 9242, 295, 411, 3372, 264, 957, 3547, 510, 50506]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
25,26,13316,109.56,111.84, and the imaginary parts here.,"[50506, 293, 264, 26164, 3166, 510, 13, 50620]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
26,27,13316,111.84,116.16, So you can think of this as ib or b.,"[50620, 407, 291, 393, 519, 295, 341, 382, 39073, 420, 272, 13, 50836]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
27,28,13316,116.16,118.03999999999999, But this is the complex number.,"[50836, 583, 341, 307, 264, 3997, 1230, 13, 50930]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
28,29,13316,118.03999999999999,122.12, Maybe ib would be a better way to write it here.,"[50930, 2704, 39073, 576, 312, 257, 1101, 636, 281, 2464, 309, 510, 13, 51134]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
29,30,13316,122.12,124.08," So with complex numbers, there's","[51134, 407, 365, 3997, 3547, 11, 456, 311, 51232]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
30,31,13316,124.08,129.12, one more useful identity.,"[51232, 472, 544, 4420, 6575, 13, 51484]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
31,32,13316,129.12,133.16, You define the norm of the complex number,"[51484, 509, 6964, 264, 2026, 295, 264, 3997, 1230, 51686]",0.0,-0.13126415105127706,1.598901098901099,0.00010362194007029757,
32,33,16096,133.16,137.88, to be square root of a squared plus b squared.,"[50364, 281, 312, 3732, 5593, 295, 257, 8889, 1804, 272, 8889, 13, 50600]",0.0,-0.14133662287193008,1.9295774647887325,0.0004292909288778901,
33,34,16096,137.88,143.68, And then this results in the norm squared being a squared,"[50600, 400, 550, 341, 3542, 294, 264, 2026, 8889, 885, 257, 8889, 50890]",0.0,-0.14133662287193008,1.9295774647887325,0.0004292909288778901,
34,35,16096,143.68,145.72, plus b squared.,"[50890, 1804, 272, 8889, 13, 50992]",0.0,-0.14133662287193008,1.9295774647887325,0.0004292909288778901,
